Country,Code,Year,democracy_eiu,Gini_Index,IHDI,Happiness.score
Albania,ALB,2022,6.41,29.4,0.68700000000000006,5.199
Algeria,DZA,2022,3.66,27.6,0.58799999999999997,5.122
Argentina,ARG,2022,6.85,42,0.747,5.967
Armenia,ARM,2022,5.63,27.9,0.72099999999999997,5.399
Australia,AUS,2022,8.71,34.3,0.86,7.162
Austria,AUT,2022,8.2,29.8,0.85899999999999999,7.163
Bangladesh,BGD,2022,5.99,31.8,0.47,5.155
Belgium,BEL,2022,7.64,26,0.878,6.805
Benin,BEN,2022,4.28,37.9,0.309,4.623
Bosnia and Herzegovina,BIH,2022,5,33,0.66700000000000004,5.768
Brazil,BRA,2022,6.78,52.9,0.57699999999999996,6.293
Bulgaria,BGR,2022,6.53,40.5,0.70299999999999996,5.371
Burkina Faso,BFA,2022,3.08,43,0.26100000000000001,4.67
Cameroon,CMR,2022,2.56,46.6,0.36199999999999999,5.048
Canada,CAN,2022,8.88,31.7,0.86399999999999999,7.025
Chile,CHL,2022,8.22,44.9,0.70399999999999996,6.172
China,CHN,2022,1.94,37.1,0.66200000000000003,5.585
Colombia,COL,2022,6.72,51.5,0.56799999999999995,5.781
Costa Rica,CRI,2022,8.29,47.2,0.65600000000000003,6.582
Croatia,HRV,2022,6.5,29.5,0.81699999999999995,6.125
Cyprus,CYP,2022,7.38,31.7,0.82699999999999996,6.221
Denmark,DNK,2022,9.28,27.5,0.89800000000000002,7.636
Dominican Republic,DOM,2022,6.39,38.5,0.627,5.737
Ecuador,ECU,2022,5.69,45.5,0.63,5.533
Egypt,EGY,2022,2.93,31.9,0.56100000000000005,4.288
El Salvador,SLV,2022,5.06,38.8,0.54800000000000004,6.12
Estonia,EST,2022,7.96,30.7,0.83499999999999996,6.341
Ethiopia,ETH,2022,3.17,35,0.32400000000000001,4.241
Finland,FIN,2022,9.29,27.1,0.88600000000000001,7.821
France,FRA,2022,8.07,30.7,0.82,6.687
Gabon,GAB,2022,3.4,38,0.52600000000000002,4.958
Georgia,GEO,2022,5.2,34.2,0.72799999999999998,4.973
Germany,DEU,2022,8.8,31.7,0.88100000000000001,7.034
Ghana,GHA,2022,6.43,43.5,0.378,4.872
Greece,GRC,2022,7.97,33.6,0.80100000000000005,5.948
Guinea,GIN,2022,2.32,48.3,0.28499999999999998,4.891
Honduras,HND,2022,5.15,48.2,0.48,6.022
Hungary,HUN,2022,6.64,29.7,0.8,6.086
Iceland,ISL,2022,9.52,26.1,0.91,7.557
India,IND,2022,7.04,34.2,0.44400000000000001,3.777
Indonesia,IDN,2022,6.71,37.9,0.58799999999999997,5.24
Iraq,IRQ,2022,3.13,29.5,0.51900000000000002,4.941
Ireland,IRL,2022,9.13,29.2,0.88600000000000001,7.041
Israel,ISR,2022,7.93,38.6,0.80800000000000005,7.364
Italy,ITA,2022,7.69,35.2,0.80200000000000005,6.467
Jamaica,JAM,2022,7.13,45.5,0.58399999999999996,5.85
Japan,JPN,2022,8.33,32.9,0.84399999999999997,6.039
Jordan,JOR,2022,3.17,33.7,0.61499999999999999,4.152
Kazakhstan,KAZ,2022,3.08,27.8,0.73399999999999999,6.234
Kenya,KEN,2022,5.05,38.7,0.438,4.543
Kyrgyzstan,KGZ,2022,3.62,29,0.63400000000000001,5.828
Latvia,LVA,2022,7.37,35.7,0.80200000000000005,6.18
Lebanon,LBN,2022,3.64,31.8,..,2.955
Lithuania,LTU,2022,7.31,36,0.79500000000000004,6.446
Malawi,MWI,2022,5.91,38.5,0.35899999999999999,3.75
Malaysia,MYS,2022,7.3,41.2,0.69199999999999995,5.711
Mali,MLI,2022,3.23,36,0.27700000000000002,4.479
Malta,MLT,2022,7.7,31.4,0.83699999999999997,6.447
Mauritius,MUS,2022,8.14,36.8,0.625,6.071
Mexico,MEX,2022,5.25,45.4,0.64100000000000001,6.128
Mongolia,MNG,2022,6.35,32.7,0.64500000000000002,5.761
Montenegro,MNE,2022,6.45,36.8,0.75600000000000001,5.547
Morocco,MAR,2022,5.04,39.5,0.50800000000000001,5.06
Mozambique,MOZ,2022,3.51,50.5,0.27,5.048
Myanmar,MMR,2022,0.74,30.7,0.47499999999999998,4.394
Namibia,NAM,2022,6.52,59.1,0.39900000000000002,4.459
Nepal,NPL,2022,4.49,32.8,0.42399999999999999,5.377
Netherlands,NLD,2022,9,26,0.88500000000000001,7.415
Nicaragua,NIC,2022,2.5,46.2,0.50700000000000001,6.165
Nigeria,NGA,2022,4.23,35.1,0.36899999999999999,4.552
North Macedonia,MKD,2022,6.1,33.5,0.67900000000000005,5.199
Norway,NOR,2022,9.81,22.7,0.90300000000000002,7.365
Pakistan,PAK,2022,4.13,29.6,0.36,4.516
Panama,PAN,2022,6.91,50.9,0.64700000000000002,6.309
Paraguay,PRY,2022,5.89,45.1,0.58199999999999996,5.578
Peru,PER,2022,5.92,40.2,0.60699999999999998,5.559
Philippines,PHL,2022,6.73,40.7,0.59,5.904
Poland,POL,2022,7.04,28.8,0.79700000000000004,6.123
Portugal,PRT,2022,7.95,34.7,0.77400000000000002,6.016
Romania,ROU,2022,6.45,34.6,0.73899999999999999,6.477
Senegal,SEN,2022,5.72,38.3,0.33400000000000002,5.046
Serbia,SRB,2022,6.33,35,0.74,6.178
Sierra Leone,SLE,2022,5.03,35.7,0.27700000000000002,3.574
Slovakia,SVK,2022,7.07,23.2,0.80800000000000005,6.391
Slovenia,SVN,2022,7.75,24,0.88200000000000001,6.63
South Africa,ZAF,2022,7.05,63,0.46200000000000002,5.194
Spain,ESP,2022,8.07,34.9,0.79600000000000004,6.476
Sri Lanka,LKA,2022,6.47,37.7,0.63,4.362
Sweden,SWE,2022,9.39,28.9,0.878,7.384
Switzerland,CHE,2022,9.14,33.1,0.89100000000000001,7.512
Tajikistan,TJK,2022,1.94,34,0.58499999999999996,5.377
Thailand,THA,2022,6.67,35.1,0.68100000000000005,5.891
Togo,TGO,2022,2.99,42.5,0.34499999999999997,4.112
Tunisia,TUN,2022,5.51,32.8,0.57399999999999995,4.516
Uganda,UGA,2022,4.55,42.7,0.377,4.603
Ukraine,UKR,2022,5.42,25.6,0.67600000000000005,5.084
United Kingdom,GBR,2022,8.28,32.6,0.86499999999999999,6.943
United States,USA,2022,7.85,39.8,0.82299999999999995,6.977
Uruguay,URY,2022,8.91,40.8,0.72,6.474
Uzbekistan,UZB,2022,2.12,35.3,..,6.063
Zambia,ZMB,2022,5.8,55.9,0.34399999999999997,3.76
Zimbabwe,ZWE,2022,2.92,50.3,0.37,2.995
