country,giniCoefficientByCountry_giniWB
India,34.2
China,37.1
United States,39.8
Indonesia,37.9
Pakistan,29.6
Nigeria,35.1
Brazil,52.9
Bangladesh,31.8
Russia,36
Ethiopia,35
Mexico,45.4
Japan,32.9
Philippines,40.7
Egypt,31.9
DR Congo,42.1
Vietnam,36.8
Iran,40.9
Turkey,41.9
Germany,31.7
Thailand,35.1
Tanzania,40.5
United Kingdom,32.6
France,30.7
South Africa,63
Italy,35.2
Kenya,38.7
Myanmar,30.7
Colombia,51.5
South Korea,31.4
Uganda,42.7
Sudan,34.2
Spain,34.9
Iraq,29.5
Algeria,27.6
Argentina,42
Afghanistan,
Poland,28.8
Canada,31.7
Morocco,39.5
Ukraine,25.6
Angola,51.3
Saudi Arabia,
Uzbekistan,35.3
Yemen,36.7
Mozambique,50.5
Ghana,43.5
Peru,40.2
Malaysia,41.2
Nepal,32.8
Madagascar,42.6
Ivory Coast,37.2
Venezuela,44.8
Cameroon,46.6
Niger,37.3
Australia,34.3
Syria,37.5
Mali,36
Taiwan,
Burkina Faso,43
Sri Lanka,37.7
Malawi,38.5
Zambia,55.9
Kazakhstan,27.8
Chile,44.9
Romania,34.6
Chad,37.5
Somalia,
Ecuador,45.5
Guatemala,48.3
Senegal,38.3
Netherlands,26
Cambodia,
Zimbabwe,50.3
Guinea,48.3
Rwanda,43.7
Benin,37.9
Burundi,38.6
Bolivia,40.9
Tunisia,32.8
Haiti,41.1
Belgium,26
Dominican Republic,38.5
Jordan,33.7
South Sudan,44.1
Honduras,48.2
Sweden,28.9
Papua New Guinea,41.9
Czech Republic,26.2
Tajikistan,34
Greece,33.6
Portugal,34.7
Hungary,29.7
Belarus,24.4
Israel,38.6
Togo,42.5
Sierra Leone,35.7
Austria,29.8
Switzerland,33.1
Laos,38.8
Hong Kong,
Nicaragua,46.2
Serbia,35
Paraguay,45.1
Kyrgyzstan,29
Bulgaria,40.5
Turkmenistan,40.8
El Salvador,38.8
Republic of the Congo,
Singapore,
Denmark,27.5
Central African Republic,43
Slovakia,23.2
Finland,27.1
Liberia,35.3
Norway,22.7
Palestine,33.7
New Zealand,
Costa Rica,47.2
Lebanon,31.8
Ireland,29.2
Mauritania,32.6
Panama,50.9
Croatia,29.5
Georgia,34.2
Mongolia,32.7
Uruguay,40.8
Moldova,25.7
Bosnia and Herzegovina,33
Gambia,38.8
Albania,29.4
Jamaica,45.5
Armenia,27.9
Qatar,
Botswana,53.3
Lithuania,36
Namibia,59.1
Gabon,38
Lesotho,44.9
Guinea-Bissau,34.8
Slovenia,24
North Macedonia,33.5
Latvia,35.7
Trinidad and Tobago,40.3
Timor-Leste,28.7
Estonia,30.7
Mauritius,36.8
Cyprus,31.7
Eswatini,54.6
Djibouti,41.6
Fiji,30.7
Comoros,45.3
Guyana,45.1
Bhutan,28.5
Solomon Islands,37.1
Macau,
Suriname,57.9
Montenegro,36.8
Cape Verde,42.4
Malta,31.4
Maldives,29.3
Belize,53.3
Iceland,26.1
Vanuatu,32.3
Sao Tome and Principe,40.7
Samoa,38.7
Saint Lucia,51.2
Kiribati,27.8
Micronesia,40.1
Jersey,
Tonga,33.5
Seychelles,32.1
Greenland,
Faroe Islands,
Marshall Islands,35.5
Nauru,32.4
Tuvalu,39.1
Falkland Islands,
